Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Mag_E
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,5e-05,0.004840901257860182,0.001,3.309997519371929e-07
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,5e-05,0.004920450628930091,0.001,4.0938762412748267e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,2.5e-05,0.004920450628930091,0.001,5.972045459490143e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,5e-05,0.005,0.001,4.769798681138318e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,2.5e-05,0.005,0.001,2.640748535025639e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,0.005,0.001,1.7321997050073147e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,5e-05,0.004840901257860182,0.001,3.309997519371929e-07
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,2.5e-05,0.004920450628930091,0.001,5.972045459490143e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,2.5e-05,0.004854959567197277,0.001,2.3405440210331188e-07
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,0.005,0.001,1.7321997050073147e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,0.004934508938267186,0.001,7.471668981198135e-08
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,0.004869017876534372,0.001,1.5395543719679265e-07
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,-0.004856181144714355,0.001,4.239830451020153e-06
500GHz,1,0.0,90.0,3.03496322348857e-20,6.636046824471356e-10,0.0,-0.004928090572357178,0.001,2.52173755720407e-06
