Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Mag_E
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.00019635165274628312,0.001,0.2705466655923889
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0002771194199535324,0.001,0.26143125030647657
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.00021536809474472358,0.001,0.2612036980013013
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0003578871871607816,0.001,0.27093542282218286
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.00029613586195197285,0.001,0.26295347789509327
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.00023438453674316407,0.001,0.2669543431447269
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0011719036102294921,0.001,0.2551404888910675
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.001113426658980426,0.001,0.25737703725713346
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0012267550806951545,0.001,0.2511630095581557
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.00105494970773136,0.001,0.2740183270047771
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0011682781294460884,0.001,0.25389430606409635
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0012816065511608167,0.001,0.2618287523276716
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0025606798310764136,0.001,0.25034046353372946
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0024872866456677077,0.001,0.2391680419418635
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.002600448849374253,0.001,0.23968754867562103
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0024138934602590013,0.001,0.24949627087918627
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.002527055663965547,0.001,0.23546929126148267
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.002640217867672092,0.001,0.2524617148108156
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004790491950698197,0.001,0.2552876865667077
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004693627350497991,0.001,0.3423497909873862
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004730161392008086,0.001,0.3150781013262996
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004596762750297785,0.001,0.4275381858662018
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.00463329679180788,0.001,0.39931471721826367
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004669830833317974,0.001,0.3824769825971897
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0029173146266017603,0.001,0.2982474982517796
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.002998238381393182,0.001,0.2858798245450847
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0029105026406931007,0.001,0.282101865702763
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,0.2592657929306837
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0029914263954845225,0.001,0.27298597481604
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.002903690654784441,0.001,0.2827040532030586
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0037187859952265037,0.001,0.28682723109265496
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.003816299445962652,0.001,0.23494528282183277
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.003726860326570243,0.001,0.2727636814916658
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0039138128966988,0.001,0.18056564441105796
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.003824373777306391,0.001,0.22449377072584978
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.003734934657913982,0.001,0.2738338924327526
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0037187859952265037,0.001,0.28682723109265496
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0038021331150425645,0.001,0.23313786013022914
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.003816299445962652,0.001,0.23494528282183277
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0038854802348586254,0.001,0.1891360445367341
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0038996465657787126,0.001,0.1779883985382122
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0039138128966988,0.001,0.18056564441105796
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004669830833317974,0.001,0.3824769825971897
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0047487550632740756,0.001,0.2866259394278838
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004730161392008086,0.001,0.3150781013262996
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004827679293230176,0.001,0.20972782285857972
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004809085621964186,0.001,0.2272056888521686
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004790491950698197,0.001,0.2552876865667077
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004827679293230176,0.001,0.20972782285857972
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004913839646615088,0.001,0.09994708516706972
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004913839646615088,0.001,0.10517621466735051
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.005,0.001,0.0
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.005,0.001,0.0007715705735159405
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.005,0.001,0.001720793971303887
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004827679293230176,0.001,0.20972782285857972
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004913839646615088,0.001,0.10517621466735051
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.004809085621964186,0.001,0.22720568885216863
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.005,0.001,0.001720793971303887
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004895245975349099,0.001,0.1265888823353819
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004790491950698197,0.001,0.2552876865667077
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.004596762750297785,0.001,0.4275381858662018
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0045574016367754665,0.001,0.4362606314179273
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.00463329679180788,0.001,0.39931471721826367
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004518040523253148,0.001,0.44690210134061703
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004593935678285562,0.001,0.4144218065391555
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.004669830833317974,0.001,0.3824769825971897
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0027321629505604504,0.001,0.2773858219211594
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.002646421390818432,0.001,0.24220268879276866
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.002686190409116271,0.001,0.2577257468071097
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0025606798310764136,0.001,0.25034046353372946
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.002600448849374253,0.001,0.23968754867562103
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.002640217867672092,0.001,0.2524617148108156
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0030615731873547248,0.001,0.24792950638843222
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.002982631921069583,0.001,0.27408352916375145
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0030703676617696643,0.001,0.24607057319866502
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.002903690654784441,0.001,0.2827040532030586
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0029914263954845225,0.001,0.27298597481604
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,0.2592657929306837
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.002389226434752345,0.001,0.276012094110798
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.002401559947505673,0.001,0.252684525238174
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0024749531329143794,0.001,0.25869276297323784
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0024138934602590013,0.001,0.24949627087918627
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0024872866456677077,0.001,0.2391680419418635
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0025606798310764136,0.001,0.25034046353372946
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,0.0019081998624453774,0.001,0.24644365355640263
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.0019640602355681294,0.001,0.24945099195953443
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,0.001899512699783034,0.001,0.24064832165897476
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0020199206086908817,0.001,0.2631610837382532
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0019553730729057863,0.001,0.2431917910590563
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,0.0018908255371206906,0.001,0.24989540772863017
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.00140625,0.001,0.27457384766932097
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,-0.0013549595399665495,0.001,0.2534152952901041
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.0013281249999999999,0.001,0.26683893646246215
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,-0.0013036690799330991,0.001,0.24537529910317807
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,-0.0012768345399665495,0.001,0.24380226811402708
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.00125,0.001,0.25760870110705236
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.0007812595355790109,0.001,0.26345440775181883
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,-0.0007366880373308441,0.001,0.25534798192640273
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.0007031488389475271,0.001,0.2646360022892055
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,-0.0006921165390826774,0.001,0.2517519507012724
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,2.5e-05,-0.0006585773406993604,0.001,0.2505277563248592
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,0.0,-0.0006250381423160434,0.001,0.259295331212619
500GHz,0,0.0,90.0,1.70271212283584e-10,6.636046824471356e-10,5e-05,-0.0031384014817855484,0.001,0.24385275311302404
