Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Mag_E
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0018969044095214329,0.001,0.24371781656073807
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.001875,0.001,0.2523005078356463
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.004790491950698197,0.001,0.2562976683629681
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.004693627350497991,0.001,0.34342020703296344
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.004725617779622554,0.001,0.3212875728073852
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.004596762750297785,0.001,0.4362600464615218
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.004628753179422347,0.001,0.4046272443868576
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.004660743608546909,0.001,0.39046538554561816
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.002900207934406426,0.001,0.30067292244356447
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.002989685035295515,0.001,0.288642346708619
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0029019492945954336,0.001,0.28406896847125623
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,0.25946368694154937
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0029914263954845225,0.001,0.2741323518259529
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.002903690654784441,0.001,0.2839081923794196
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,0.25946368694154937
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0031838334617529723,0.001,0.22036460827130736
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.00315084607910765,0.001,0.23320900263591135
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0032885047873213403,0.001,0.22900983111619738
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0032555174046760183,0.001,0.21993726597494248
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.003222530022030696,0.001,0.22887755248692196
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0039076588000625636,0.001,0.184822369755431
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.004005008809058382,0.001,0.173879319080293
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0039051594690181447,0.001,0.1812888178488904
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.004102358818054199,0.001,0.20299012150194037
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.004002509478013963,0.001,0.16740168936539682
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.003902660137973726,0.001,0.18994963541222798
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0037181799460322762,0.001,0.28976326478753583
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.003810420042003001,0.001,0.23808913994273959
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.00371809073594069,0.001,0.2796057339035572
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.003902660137973726,0.001,0.18994963541222798
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.003810330831911415,0.001,0.23221764527565228
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.003718001525849104,0.001,0.28446532790352436
