Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Mag_E
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.00173492023801973,0.001,4.893577637748565e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0018049601190098649,0.001,2.3789906713566324e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.001687777387381447,0.001,6.30207710616863e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.001875,0.001,1.1271935575606488e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.001757817268371582,0.001,3.887136197116069e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.001640634536743164,0.001,7.473921697540426e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.00018925118969509636,0.001,3.086131622124316e-07
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0002815572093605241,0.001,3.7521791805571657e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.00021181786321913023,0.001,1.1059822684842828e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0003738632290259518,0.001,7.269761644616924e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.00030412388288455794,0.001,4.6305812421067496e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.00023438453674316407,0.001,1.8775169011101457e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0006010780466639276,0.001,2.588395547378912e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0006349489922594664,0.001,1.8161488925974953e-07
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0005495725936215756,0.001,5.5520166062783476e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0006688199378550053,0.001,2.3201593151256054e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0005834435392171144,0.001,3.4620513939890114e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0004980671405792237,0.001,7.62561603317656e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0003738632290259518,0.001,7.269761644616924e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0004874706378449397,0.001,7.283101055613761e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0004359651848025877,0.001,8.146714552960455e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0006010780466639276,0.001,2.588395547378912e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0005495725936215756,0.001,5.5520166062783476e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0004980671405792237,0.001,7.62561603317656e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0011719036102294921,0.001,1.0193856583540644e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.001113426658980426,0.001,6.5200365893696646e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0012267550806951545,0.001,1.1202643813168768e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.00105494970773136,0.001,1.6850097786973125e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0011682781294460884,0.001,9.343394578073726e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0012816065511608167,0.001,1.0554837473417057e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0025606352463364603,0.001,7.691464938766611e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.002487264353297731,0.001,6.230631348690436e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0026004265570042763,0.001,7.054330022268932e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0024138934602590013,0.001,2.831324377616981e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.002527055663965547,0.001,6.769396062897401e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.002640217867672092,0.001,6.078688761591578e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.00173492023801973,0.001,4.893577637748565e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.001826864528531298,0.001,1.8565871721900087e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0018049601190098649,0.001,2.3789906713566324e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.001918808819042866,0.001,1.4440833033304813e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0018969044095214329,0.001,1.1861842117985297e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.001875,0.001,1.1271935575606488e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.004790491950698197,0.001,8.500521431933725e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.004693627350497991,0.001,1.1135661546639593e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.004725617779622554,0.001,1.053648902579101e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.004596762750297785,0.001,1.2429712076346563e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.004628753179422347,0.001,1.23485109052377e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.004660743608546909,0.001,1.231080161365855e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.002900207934406426,0.001,4.707488744580144e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.002989685035295515,0.001,4.724062473532584e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0029019492945954336,0.001,4.806528985228437e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,3.541498709875547e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0029914263954845225,0.001,4.81660148974934e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.002903690654784441,0.001,4.894209124348564e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.003079162136184604,0.001,3.541498709875547e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0031838334617529723,0.001,1.7087653642522487e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0031682510352686946,0.001,2.0070575257947255e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0032885047873213403,0.001,5.079379050084267e-07
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0032729223608370626,0.001,8.478288989248775e-07
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.0032573399343527854,0.001,1.2155051960109242e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,5e-05,0.0039076588000625636,0.001,3.803745639626617e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.004005008809058382,0.001,4.13725529534894e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,2.5e-05,0.0039051594690181447,0.001,3.8103989222416865e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.004102358818054199,0.001,1.0518348696432998e-05
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.004002509478013963,0.001,3.760213361163615e-06
500GHz,1,0.0,90.0,1.78381266827678e-19,6.636046824471356e-10,0.0,0.003902660137973726,0.001,4.206691607134541e-06
